Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
NSGAII surrogate iSOUPTR 30%,DTLZ2,9,EP,-0.07361280058134048
NSGAII surrogate iSOUPTR 30%,DTLZ2,9,HV,12.902601058965834
NSGAII surrogate iSOUPTR 30%,DTLZ2,0,Time,14.956212997436523
NSGAII surrogate iSOUPTR 30%,DTLZ2,1,Time,13.865137338638306
NSGAII surrogate iSOUPTR 30%,DTLZ2,2,Time,14.169614791870117
NSGAII surrogate iSOUPTR 30%,DTLZ2,3,Time,15.565036058425903
NSGAII surrogate iSOUPTR 30%,DTLZ2,4,Time,14.025975465774536
NSGAII surrogate iSOUPTR 30%,DTLZ2,5,Time,14.739011287689209
NSGAII surrogate iSOUPTR 30%,DTLZ2,6,Time,14.376735210418701
NSGAII surrogate iSOUPTR 30%,DTLZ2,7,Time,16.13689374923706
NSGAII surrogate iSOUPTR 30%,DTLZ2,8,Time,14.520342350006104
NSGAII surrogate iSOUPTR 30%,DTLZ2,9,Time,14.370970487594604
NSGAII surrogate iSOUPTR 30%,DTLZ7,0,EP,0.5940448576786181
NSGAII surrogate iSOUPTR 30%,DTLZ7,0,HV,0.3288445101950739
NSGAII surrogate iSOUPTR 30%,DTLZ7,1,EP,0.5618124736161801
NSGAII surrogate iSOUPTR 30%,DTLZ7,1,HV,0.39595827430633035
NSGAII surrogate iSOUPTR 30%,DTLZ7,2,EP,0.5987792679038206
NSGAII surrogate iSOUPTR 30%,DTLZ7,2,HV,0.35417754942453394
NSGAII surrogate iSOUPTR 30%,DTLZ7,3,EP,0.6475300029991937
NSGAII surrogate iSOUPTR 30%,DTLZ7,3,HV,0.36096415061339804
NSGAII surrogate iSOUPTR 30%,DTLZ7,4,EP,0.5854074169145267
NSGAII surrogate iSOUPTR 30%,DTLZ7,4,HV,0.32035338470118074
NSGAII surrogate iSOUPTR 30%,DTLZ7,5,EP,0.49535887734914175
NSGAII surrogate iSOUPTR 30%,DTLZ7,5,HV,0.5081853568405922
NSGAII surrogate iSOUPTR 30%,DTLZ7,6,EP,0.5735274495960132
NSGAII surrogate iSOUPTR 30%,DTLZ7,6,HV,0.573522414791245
